"Store Balance Coupon","Store Balance Coupon"
"Details","Details"
"Coupon","Coupon"
"Coupon Amount","Coupon Amount"
"Website","Website"
"Status","Status"
"From Date","From Date"
"To Date","To Date"
"Number of Coupons","Number of Coupons"
"Modified On","Modified On"
"Action","Action"
"Balance","Balance"
"Comment","Comment"
"Settings","Settings"
"Coupon History","Coupon History"
"Generate","Generate"
"Edit Store Balance Coupon: %s","Edit Store Balance Coupon: %s"
"Generate Store Balance Coupons","Generate Store Balance Coupons"
"ID","ID"
"Date Start","Date Start"
"Date Expire","Date Expire"
"Last Used","Last Used"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Manage Store Balance Coupons","Manage Store Balance Coupons"
"New Store Balance Coupon(s)","New Store Balance Coupon(s)"
"Store Balance Transactions","Store Balance Transactions"
"Change Balance","Change Balance"
"Amount","Amount"
"Negative value decreases customer's Store Balance","Negative value decreases customer's Store Balance"
"Store Balance","Store Balance"
"Balance Change","Balance Change"
"Store Balance refilled","Store Balance refilled"
"Error occur while refilling the balance.","Error occur while refilling the balance."
"Customer not found.","Customer not found."
"%d Store Balance Coupon(s) generated","%d Store Balance Coupon(s) generated"
"Store Balance Coupon saved","Store Balance Coupon saved"
"Coupon deleted","Coupon deleted"
"Store Balance Coupon can't be deleted.","Store Balance Coupon can't be deleted."
"Please select coupon(s)","Please select coupon(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"There was an error while updating coupon(s) status","There was an error while updating coupon(s) status"
"Wrong Store Balance Coupon specified.","Wrong Store Balance Coupon specified."
"Store Balance Coupons","Store Balance Coupons"
"MagExtension :: Store Balance","MagExtension :: Store Balance"
"General Settings","General Settings"
"Enable Store Balance","Enable Store Balance"
"Enable Store Balance Coupons","Enable Store Balance Coupons"
"Please make sure &quot;Enable Store Balance&quot; set to &quot;Yes&quot;","Please make sure &quot;Enable Store Balance&quot; set to &quot;Yes&quot;"
"Coupon Generation Settings","Coupon Generation Settings"
"Coupon Length","Coupon Length"
"delimiters are not counted","delimiters are not counted"
"Coupon symbols","Coupon symbols"
"Symbols Grouped By","Symbols Grouped By"
"leave empty to remove delimiter(s)","leave empty to remove delimiter(s)"
"Delimiter symbol","Delimiter symbol"
"Replenishment Product","Replenishment Product"
"product used for Store Balance refilling","product used for Store Balance refilling"
"Replenishment Button Action","Replenishment Button Action"
"New order status","New order status"
"Automatically invoice all items","Automatically invoice all items"
"Sort order","Sort order"
"Title","Title"
"Modified","Modified"
"Used","Used"
"Refunded","Refunded"
"Store Balance model hasn't assigned.","Store Balance model hasn't assigned."
"By Store Balance Coupon %s","By Store Balance Coupon %s"
"By Invoice #%s (Order #%s)","By Invoice #%s (Order #%s)"
"In Order #%s","In Order #%s"
"Order #%s; \nCreditmemo #%s","Order #%s; \nCreditmemo #%s"
"Unknown transaction action.","Unknown transaction action."
"Creditmemo not set.","Creditmemo not set."
"Order not set.","Order not set."
"Customer ID is not set","Customer ID is not set"
"Website ID is not set","Website ID is not set"
"Created","Created"
"Updated","Updated"
"Coupon hasn't assigned.","Coupon hasn't assigned."
"By Customer #%s","By Customer #%s"
"Unknown history action.","Unknown history action."
"End Date should be greater than Start Date","End Date should be greater than Start Date"
"Store Balance Coupon is invalid.","Store Balance Coupon is invalid."
"Active","Active"
"Inactive","Inactive"
"Your Store Balance is not enough to complete this Order.","Your Store Balance is not enough to complete this Order."
"An error occured while placing an order using Store Balance. Try to use another payment method.","An error occured while placing an order using Store Balance. Try to use another payment method."
"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"The Store Balance is not enough to complete this operation.","The Store Balance is not enough to complete this operation."
"Alphanumeric","Alphanumeric"
"Alphabetical","Alphabetical"
"Numeric","Numeric"
"Proceed to Checkout","Proceed to Checkout"
"Add to Cart","Add to Cart"
"Both buttons","Both buttons"
"--Please Select--","--Please Select--"
"Available Balance","Available Balance"
"Refunded to Store Balance","Refunded to Store Balance"
"Balance Transactions","Balance Transactions"
"Transaction list is empty.","Transaction list is empty."
"Qty of Store Balance units:","Qty of Store Balance units:"
"or","or"
"You have %s on your Store Balance","You have %s on your Store Balance"
"Enter Store Balance Coupon if you have one:","Enter Store Balance Coupon if you have one:"
"Refill Balance","Refill Balance"
"Recent Balance Transactions","Recent Balance Transactions"
