"There have been %s0 comments%s","- %s0 comentarios%s"
"There have been %s%s comment(s)%s","- %s%s comentario(s)%s"
"Posted on %s by %s","Publicado el %s por %s"
"This post was posted in","Publicado en"
"Recent Posts","&Uacute;ltimas entradas"
"Posted on %s at %s","Publicado el %s a las %s"
"Posts by ‘%s‘","Publicado por ‘%s‘"
"says","dice"
"Post your comment","Comentar"
"Response to %s","Respuesta a %s"
"Comments","Comentarios"
"Name","Nombre"
"Email","Email"
"Website","Web"
"Comment","Comentario"
"Home","Inicio"

"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Septiembre"
"October","Octubre"
"November","Noviembre"
"December","Diciembre"

"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Mi&eacute;rcoles"
"Thursday","Jueves"
"Friday","Viernes"
"Saturday","S&aacute;bado"
"Sunday","Domingo"

"Next","Siguiente"
"Previous","Anterior"

"Archives","Archivo"
"Blog Search","Buscar"

"Monthly Archives","Archivos por mes"
"User Archives","Archivos por Autor"

