"There have been %s0 comments%s","%sAucun commentaire%s actuellement"
"There have been %s%s comment(s)%s","Il y a %s%s commentaire(s)%s"
"Posted on %s by %s","Posté le %s par %s"
"This post was posted in","Cet article a été posté dans"
"Recent Posts","Articles récents"
"Posted on %s at %s","Posté le %s à %s"
"Posts by '%s'","Les articles postés par '%s'"
"says","dit"
"Post your comment","Soumettre votre commentaire"
"Response to %s","Réponse(s) à %s"
"Comments","Commentaires"
"Name","Nom"
"Email","Email"
"Website","Site Web"
"Comment","Commentaire"
"Home","Accueil"

"January","Janvier"
"February","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"July","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Décembre"

"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mecredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche

"Next","Prochain"
"Previous","Précédent"

"My Blog Comments","Mes Commentaires sur le Blog"
"Blog Search","Rechercher"
"Recent Posts","Derniers Articles"
"Recent Comments","Derniers Commentaires"
