"There have been %s0 comments%s","Ci sono %s0 comments%s"
"There have been %s%s comment(s)%s","Ci sono %s%s comment(s)%s"
"Posted on %s by %s","Inviato il %s da %s"
"This post was posted in","Questo Post &egrave; stato inviato in"
"Recent Posts","Post recenti"
"Posted on %s at %s","Inviato il %s alle %s"
"Posts by ‘%s‘","Inviato da ‘%s‘"
"says","dice"
"Post your comment","Commenta"
"Response to %s","Risposta a %s"
"Comments","Commenti"
"Name","Nome"
"Email","Email"
"Website","Sito"
"Comment","Commento"
"Home","Home"

"January","Gennaio"
"February","Febbraio"
"March","Marzo"
"April","Aprile"
"May","Maggio"
"June","Giugno"
"July","Luglio"
"August","Agosto"
"September","Settembre"
"October","Ottobre"
"November","Novembre"
"December","Dicembre"

"Monday","Lunedi"
"Tuesday","Martedi"
"Wednesday","Mercoledi"
"Thursday","Giovedi"
"Friday","Venerdi"
"Saturday","Sabato"
"Sunday","Domenica"

"Next","Prossimo"
"Previous","Precedente"
